country,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LVA,CO2,0.364842133,0.229664967,0.036230333,0.003933233,0.002434667,0.001912167,0.001492333,0.001321467,0.003304033,0.0033605,0.006024333,0.0021747,0.019536367,0.026082467,0.0024332,0.0029381,0.002801333,0.006331233,0.0059202,0.008336167,0.0059741,0.012226867,0.015694067,0.0173217,0.0236555,0.02614766,0.030526833,0.033902733,0.044489133
NLD,CO2,0.183152246,0.146763443,0.140821355,0.134308478,0.095794171,0.098202887,0.110555853,0.109993537,0.103988162,0.08437095,0.097620433,0.080005285,0.084624796,0.086408124,0.078984218,0.074739157,0.081116522,0.071077361,0.070616023,0.059715618,0.059715618,0.073324693,0.07044458,0.07044458,0.07044458,0.068717227,0.040531477,0.05066012,0.035875158
NOR,CO2,0.231523857,0.201195023,0.166203693,0.19381912,0.173722743,0.193860187,0.180458373,0.18062517,0.160626253,0.159058607,0.13721884,0.139556743,0.136065003,0.123948477,0.111464298,0.109279427,0.103925067,0.09865372,0.095723155,0.088269317,0.078332137,0.078261553,0.080099323,0.081825507,0.088769377,0.089892517,0.088502949,0.09353289,0.092958822
NZL,CO2,0.399257625,0.44054064,0.468457033,0.522445337,0.588093584,0.677931886,0.627062202,0.662406014,0.747897966,0.855027698,0.911346764,1.031035207,1.171911751,1.123447304,1.125250816,1.194375882,1.038667455,1.111516924,1.051171949,1.09361,1.069826644,1.131490711,1.176945318,1.060250306,1.102690911,1.144498834,1.088802418,1.047860887,1.103044393
POL,CO2,2.570502239,1.865080521,1.563332906,1.558052761,1.478284305,1.812740553,1.725160227,1.900873513,1.818012341,1.517556468,1.413425118,1.415322307,1.350556152,1.299593128,1.32342441,1.296503479,0.952600693,0.791866838,0.83262459,0.756463028,0.771560463,0.779713526,0.7414947,0.847448232,0.844151903,0.719568732,1.011490812,0.890497001,0.939825087
PRT,CO2,0.033869923,0.033869923,0.033869923,0.033869923,0.033869923,0.023844116,0.035026475,0.036923785,0.024950251,0.035730006,0.045312071,0.040533283,0.028639399,0.027314224,0.025320673,0.029813005,0.043394341,0.047657052,0.055207143,0.052920337,0.034571598,0.043064437,0.041762948,0.034224552,0.048013957,0.056196832,0.055582009,0.052649702,0.047786297
ROU,CO2,0.18251157,0.079105014,0.074117248,0.090343079,0.109428072,0.097708172,0.09772657,0.086733384,0.089219142,0.073728558,0.10290107,0.121100245,0.10597109,0.122845342,0.136087951,0.138540923,0.129658114,0.117433598,0.136984308,0.123050111,0.107216209,0.090650085,0.076625517,0.089900151,0.082146892,0.094342723,0.113239016,0.12459731,0.125417428
RUS,CO2,10.17316667,9.397776667,8.240444667,5.94891,3.216766667,2.076506667,1.495090667,1.1227436,0.794450067,0.866376133,0.971131333,0.9418244,0.881265367,0.9101752,0.854157883,0.826105867,0.864542433,0.7922816,0.842781592,0.686357467,0.778360871,0.775293933,0.842584921,0.795129363,0.868853608,0.801280608,0.7679188,0.840909254,0.978912275
SVK,CO2,0.066353061,0.057843278,0.049333496,0.040823714,0.032313932,0.085236949,0.070206367,0.126376585,0.165472137,0.09419197,0.062921562,0.093526077,0.053592014,0.050183442,0.039196666,0.033479272,0.030903961,0.034820445,0.056551216,0.049066153,0.047092633,0.069584244,0.067727482,0.0755671,0.081487746,0.085433876,0.083362778,0.071827526,0.079422531
SVN,CO2,0.052667344,0.051659438,0.056684917,0.05498572,0.05517534,0.040934985,0.033599904,0.026486848,0.02901554,0.030272459,0.029013784,0.028595179,0.027751831,0.028919223,0.024528133,0.02521222,0.024968039,0.02304479,0.019586103,0.026318387,0.024006793,0.020529227,0.023295231,0.022204251,0.020532324,0.01952368,0.01999617,0.018559504,0.022060288
SWE,CO2,0.177751646,0.14047558,0.112861786,0.134440533,0.161204171,0.172886522,0.197328203,0.178365988,0.133784296,0.160286612,0.159675522,0.139962661,0.133305907,0.129929513,0.123233797,0.116501414,0.089613397,0.115581942,0.104591507,0.114540162,0.123800122,0.123865484,0.142118741,0.142563523,0.123325113,0.124482504,0.128115211,0.12753811,0.128548834
TUR,CO2,0.459945933,0.436197667,0.458749867,0.626741867,0.452597933,0.425922933,0.534127733,0.5319952,0.6579122,0.733334067,0.617474,0.5270738,0.5269176,0.5654132,0.6321832,0.613163467,0.5923412,0.566303467,0.564836067,0.592718867,0.644983533,0.557549667,0.639769277,0.807301,0.787689707,0.810593667,1.295347709,1.449631656,1.257471263
UKR,CO2,2.862221267,1.581050044,1.540698622,1.5003472,1.468969822,1.437592444,0.354153067,0.1374054,0.137752267,0.1188979,0.145663467,0.1884729,0.170694333,0.240465867,0.119154933,0.229240733,0.277309267,0.324455267,0.480137607,0.3269134,0.462185533,0.518677133,0.502218933,0.563997867,0.542283672,0.542338016,0.590001863,0.68066977,0.364914403
USA,CO2,6.677963151,6.960596576,6.574299234,6.067790485,6.487363648,6.747324964,6.630901261,6.639318546,7.226957878,7.143848575,7.273225386,7.442479215,8.042173073,7.810212218,7.073090084,7.498962775,7.26232506,7.667216726,8.168662524,6.834344931,8.148468381,7.38156303,9.727550451,7.67747864,7.532032753,7.818908837,7.122310542,7.594217491,7.74549525
